Consumer Price Index,
(data is presented as percentage).,
,
,Canada
date,All-items
02-01-2021,1.1
01-01-2021,1
12-01-2020,0.7
11-01-2020,1
10-01-2020,0.7
09-01-2020,0.5
08-01-2020,0.1
07-01-2020,0.1
06-01-2020,0.7
05-01-2020,-0.4
04-01-2020,-0.2
03-01-2020,0.9
02-01-2020,2.2
01-01-2020,2.4
12-01-2019,2.2
11-01-2019,2.2
10-01-2019,1.9
09-01-2019,1.9
08-01-2019,1.9
07-01-2019,2
06-01-2019,2
05-01-2019,2.4
04-01-2019,2
03-01-2019,1.9
02-01-2019,1.5
01-01-2019,1.4
12-01-2018,2
11-01-2018,1.7
10-01-2018,2.4
09-01-2018,2.2
08-01-2018,2.8
07-01-2018,3
06-01-2018,2.5
05-01-2018,2.2
04-01-2018,2.2
03-01-2018,2.3
02-01-2018,2.2
01-01-2018,1.7
12-01-2017,1.9
11-01-2017,2.1
10-01-2017,1.4
09-01-2017,1.6
08-01-2017,1.4
07-01-2017,1.2
06-01-2017,1
05-01-2017,1.3
04-01-2017,1.6
03-01-2017,1.6
02-01-2017,2
01-01-2017,2.1
12-01-2016,1.5
11-01-2016,1.2
10-01-2016,1.5
09-01-2016,1.3
08-01-2016,1.1
07-01-2016,1.3
06-01-2016,1.5
05-01-2016,1.5
04-01-2016,1.7
03-01-2016,1.3
02-01-2016,1.4
01-01-2016,2
12-01-2015,1.6
11-01-2015,1.4
10-01-2015,1
09-01-2015,1
08-01-2015,1.3
07-01-2015,1.3
06-01-2015,1
05-01-2015,0.9
04-01-2015,0.8
03-01-2015,1.2
02-01-2015,1
01-01-2015,1
12-01-2014,1.5
11-01-2014,2
10-01-2014,2.4
09-01-2014,2
08-01-2014,2.1
07-01-2014,2.1
06-01-2014,2.4
05-01-2014,2.3
04-01-2014,2
03-01-2014,1.5
02-01-2014,1.1
