,date,bitcoin price
0,2021-03-31,58741.3
1,2021-03-30,58771.3
2,2021-03-29,57616.2
3,2021-03-28,55765.2
4,2021-03-27,55862.9
5,2021-03-26,55036.1
6,2021-03-25,51322.3
7,2021-03-24,52325.4
8,2021-03-23,54452.5
9,2021-03-22,54158.3
10,2021-03-21,57383.8
11,2021-03-20,58093.4
12,2021-03-19,58088.0
13,2021-03-18,57656.0
14,2021-03-17,58913.5
15,2021-03-16,56889.7
16,2021-03-15,55791.3
17,2021-03-14,59113.7
18,2021-03-13,61195.3
19,2021-03-12,57265.1
20,2021-03-11,57799.5
21,2021-03-10,55851.9
22,2021-03-09,54879.0
23,2021-03-08,52311.0
24,2021-03-07,50982.3
25,2021-03-06,48855.6
26,2021-03-05,48792.5
27,2021-03-04,48428.0
28,2021-03-03,50395.1
29,2021-03-02,48424.2
30,2021-03-01,49595.5
31,2021-02-28,45164.0
32,2021-02-27,46136.7
33,2021-02-26,46345.6
34,2021-02-25,46928.5
35,2021-02-24,49697.5
36,2021-02-23,48911.2
37,2021-02-22,54111.8
38,2021-02-21,57433.8
39,2021-02-20,55923.7
40,2021-02-19,55906.6
41,2021-02-18,51582.2
42,2021-02-17,52079.2
43,2021-02-16,49169.7
44,2021-02-15,47936.3
45,2021-02-14,48643.4
46,2021-02-13,47168.7
47,2021-02-12,47371.7
48,2021-02-11,47990.7
49,2021-02-10,44836.0
50,2021-02-09,46508.6
51,2021-02-08,46395.7
52,2021-02-07,38852.9
53,2021-02-06,39256.6
54,2021-02-05,38297.6
55,2021-02-04,36982.1
56,2021-02-03,37646.8
57,2021-02-02,35485.2
58,2021-02-01,33515.7
59,2021-01-31,33108.1
60,2021-01-30,34283.1
61,2021-01-29,34301.8
62,2021-01-28,33374.8
63,2021-01-27,30404.0
64,2021-01-26,32502.1
65,2021-01-25,32252.3
66,2021-01-24,32241.3
67,2021-01-23,32088.9
68,2021-01-22,33000.5
69,2021-01-21,30842.1
70,2021-01-20,35476.3
71,2021-01-19,36002.9
72,2021-01-18,36613.2
73,2021-01-17,35839.6
74,2021-01-16,36019.5
75,2021-01-15,36845.8
76,2021-01-14,39175.7
77,2021-01-13,37382.2
78,2021-01-12,34076.1
79,2021-01-11,35544.3
80,2021-01-10,38192.2
81,2021-01-09,40151.9
82,2021-01-08,40599.3
83,2021-01-07,39460.2
84,2021-01-06,36793.2
85,2021-01-05,33991.5
86,2021-01-04,32022.6
87,2021-01-03,32958.9
88,2021-01-02,32193.3
89,2021-01-01,29359.9
90,2020-12-31,28949.4
91,2020-12-30,28868.7
