date,bloomberg price
2009-03-26,112.91
2009-03-27,110.18
2009-03-30,107.16
2009-03-31,109.78
2009-04-01,108.69
2009-04-02,112.3
2009-04-03,113.68
2009-04-06,111.81
2009-04-07,110.7
2009-04-08,111.37
2009-04-09,113.12
2009-04-13,113.16
2009-04-14,113.35
2009-04-15,113.76
2009-04-16,113.27
2009-04-17,113.58
2009-04-20,109.63
2009-04-21,109.78
2009-04-22,110.0
2009-04-23,109.73
2009-04-24,111.03
2009-04-27,108.6
2009-04-28,107.49
2009-04-29,109.87
2009-04-30,110.57
2009-05-01,114.13
2009-05-04,115.74
2009-05-05,115.26
2009-05-06,118.48
2009-05-07,119.34
2009-05-08,120.83
2009-05-11,120.35
2009-05-12,121.21
2009-05-13,119.71
2009-05-14,120.2
2009-05-15,117.7
2009-05-18,119.85
2009-05-19,119.87
2009-05-20,121.32
2009-05-21,119.5
2009-05-22,120.65
2009-05-26,121.34
2009-05-27,121.45
2009-05-28,123.12
2009-05-29,124.93
2009-06-01,129.15
2009-06-02,128.49
2009-06-03,124.2
2009-06-04,128.0
2009-06-05,127.06
2009-06-08,125.79
2009-06-09,128.24
2009-06-10,128.3
2009-06-11,131.12
2009-06-12,128.89
2009-06-15,126.03
2009-06-16,125.69
2009-06-17,126.46
2009-06-18,126.26
2009-06-19,124.73
2009-06-22,120.96
2009-06-23,122.81
2009-06-24,123.34
2009-06-25,124.84
2009-06-26,123.92
2009-06-29,124.82
2009-06-30,122.54
2009-07-01,123.6
2009-07-02,121.02
2009-07-06,118.11
2009-07-07,116.25
2009-07-08,113.24
2009-07-09,114.8
2009-07-10,113.99
2009-07-13,114.08
2009-07-14,115.6
2009-07-15,117.49
2009-07-16,118.36
2009-07-17,120.29
2009-07-20,121.62
2009-07-21,120.88
2009-07-22,121.62
2009-07-23,123.12
2009-07-24,123.32
2009-07-27,123.71
2009-07-28,122.51
2009-07-29,119.48
2009-07-30,124.16
2009-07-31,126.48
2009-08-03,131.25
2009-08-04,131.77
2009-08-05,132.92
2009-08-06,130.4
2009-08-07,130.24
2009-08-10,129.79
2009-08-11,128.84
2009-08-12,130.28
2009-08-13,130.96
2009-08-14,127.51
2009-08-17,125.17
2009-08-18,126.09
2009-08-19,127.26
2009-08-20,125.96
2009-08-21,127.59
2009-08-24,128.75
2009-08-25,126.92
2009-08-26,126.52
2009-08-27,126.73
2009-08-28,127.84
2009-08-31,125.72
2009-09-01,123.49
2009-09-02,123.59
2009-09-03,123.6
2009-09-04,122.93
2009-09-08,125.45
2009-09-09,125.36
2009-09-10,125.86
2009-09-11,123.79
2009-09-14,124.1
2009-09-15,126.58
2009-09-16,129.54
2009-09-17,128.95
2009-09-18,127.51
2009-09-21,125.2
2009-09-22,127.36
2009-09-23,126.13
2009-09-24,123.68
2009-09-25,123.37
2009-09-28,123.8
2009-09-29,124.12
2009-09-30,127.68
2009-10-01,125.45
2009-10-02,124.17
2009-10-05,125.55
2009-10-06,127.5
