date,cpi price
2009-10-26,25.0
2009-10-27,25.0
2009-10-28,25.03
2009-10-29,25.02
2009-10-30,25.04
2009-11-02,25.06
2009-11-03,25.08
2009-11-04,25.11
2009-11-05,25.09
2009-11-06,25.1
2009-11-09,25.1
2009-11-10,25.12
2009-11-11,25.12
2009-11-12,25.15
2009-11-13,25.11
2009-11-16,25.15
2009-11-17,25.21
2009-11-18,25.23
2009-11-19,25.23
2009-11-20,25.23
2009-11-23,25.24
2009-11-24,25.25
2009-11-25,25.28
2009-11-27,25.33
2009-11-30,25.31
2009-12-01,25.33
2009-12-02,25.33
2009-12-03,25.35
2009-12-04,25.31
2009-12-07,25.21
2009-12-08,25.2
2009-12-09,25.17
2009-12-10,25.16
2009-12-11,25.12
2009-12-14,25.1
2009-12-15,25.12
2009-12-16,25.1
2009-12-17,25.13
2009-12-18,25.09
2009-12-21,25.1
2009-12-22,25.03
2009-12-23,25.0
2009-12-24,25.02
2009-12-28,25.02
2009-12-29,25.02
2009-12-30,25.02
2009-12-31,25.03
2010-01-04,25.02
2010-01-05,25.06
2010-01-06,25.07
2010-01-07,25.07
2010-01-08,25.05
2010-01-11,25.07
2010-01-12,25.07
2010-01-13,25.08
2010-01-14,25.06
2010-01-15,25.1
2010-01-19,25.09
2010-01-20,25.1
2010-01-21,25.08
2010-01-22,25.07
2010-01-25,25.04
2010-01-26,25.05
2010-01-27,25.05
2010-01-28,25.02
2010-01-29,25.02
2010-02-01,25.03
2010-02-02,25.04
2010-02-03,25.08
2010-02-04,25.04
2010-02-05,25.01
2010-02-08,25.0
2010-02-09,25.01
2010-02-10,25.01
2010-02-11,24.98
2010-02-12,25.0
2010-02-16,25.0
2010-02-17,25.05
2010-02-18,25.01
2010-02-19,25.02
2010-02-22,25.03
2010-02-23,25.02
2010-02-24,25.04
2010-02-25,25.05
2010-02-26,25.07
2010-03-01,25.1
2010-03-02,25.09
2010-03-03,25.1
2010-03-04,25.12
2010-03-05,25.11
2010-03-08,25.07
2010-03-09,25.06
2010-03-10,25.05
2010-03-11,25.03
2010-03-12,25.05
2010-03-15,25.05
2010-03-16,25.04
2010-03-17,25.09
2010-03-18,25.1
2010-03-19,25.09
2010-03-22,25.06
2010-03-23,25.07
2010-03-24,25.06
2010-03-25,24.99
2010-03-26,24.99
2010-03-29,24.99
2010-03-30,24.99
2010-03-31,24.99
2010-04-01,25.0
2010-04-05,24.99
2010-04-06,24.97
2010-04-07,24.99
2010-04-08,25.01
2010-04-09,25.01
2010-04-12,25.02
2010-04-13,25.02
2010-04-14,25.02
2010-04-15,25.02
2010-04-16,25.03
2010-04-19,25.04
2010-04-20,25.02
2010-04-21,25.01
