,date,gold price
35,2009-03-26,947.2
36,2009-03-27,930.3
37,2009-03-30,922.7
38,2009-03-31,929.8
39,2009-04-01,932.4
40,2009-04-02,913.6
41,2009-04-03,902.1
42,2009-04-06,877.4
43,2009-04-07,888.1
44,2009-04-08,890.5
45,2009-04-09,887.9
46,2009-04-13,900.6
47,2009-04-14,896.7
48,2009-04-15,898.2
49,2009-04-16,884.3
50,2009-04-17,872.3
51,2009-04-20,892.0
52,2009-04-21,887.3
53,2009-04-22,897.2
54,2009-04-23,911.2
55,2009-04-24,918.6
56,2009-04-27,912.6
57,2009-04-28,898.0
58,2009-04-29,905.0
59,2009-04-30,894.2
60,2009-05-01,891.3
61,2009-05-04,905.4
62,2009-05-05,907.6
63,2009-05-06,914.3
64,2009-05-07,918.9
65,2009-05-08,918.2
66,2009-05-11,916.9
67,2009-05-12,927.5
68,2009-05-13,929.5
69,2009-05-14,931.9
70,2009-05-15,934.6
71,2009-05-18,924.8
72,2009-05-19,929.7
73,2009-05-20,940.3
74,2009-05-21,954.0
75,2009-05-22,961.8
76,2009-05-26,956.4
77,2009-05-27,958.0
78,2009-05-28,966.0
79,2009-05-29,983.1
80,2009-06-01,982.8
81,2009-06-02,987.1
82,2009-06-03,968.2
83,2009-06-04,985.0
84,2009-06-05,965.5
85,2009-06-08,955.4
86,2009-06-09,957.6
87,2009-06-10,957.6
88,2009-06-11,964.9
89,2009-06-12,943.5
90,2009-06-15,930.1
91,2009-06-16,934.9
92,2009-06-17,938.7
93,2009-06-18,937.4
94,2009-06-19,939.0
95,2009-06-22,923.7
96,2009-06-23,926.9
97,2009-06-24,937.2
98,2009-06-25,942.2
99,2009-06-26,943.7
100,2009-06-29,943.4
101,2009-06-30,930.2
102,2009-07-01,944.2
103,2009-07-02,933.6
104,2009-07-06,926.9
105,2009-07-07,931.7
106,2009-07-08,912.0
107,2009-07-09,919.1
108,2009-07-10,915.4
109,2009-07-13,925.4
110,2009-07-14,925.6
111,2009-07-15,942.2
112,2009-07-16,938.2
113,2009-07-17,940.3
114,2009-07-20,951.6
115,2009-07-21,949.6
116,2009-07-22,956.0
117,2009-07-23,957.6
118,2009-07-24,955.9
119,2009-07-27,956.3
120,2009-07-28,941.7
121,2009-07-29,929.7
122,2009-07-30,937.3
123,2009-07-31,955.8
124,2009-08-03,958.8
125,2009-08-04,969.7
126,2009-08-05,966.3
127,2009-08-06,962.9
128,2009-08-07,959.5
129,2009-08-10,946.9
130,2009-08-11,947.6
131,2009-08-12,952.5
132,2009-08-13,956.5
133,2009-08-14,948.7
134,2009-08-17,935.8
135,2009-08-18,939.2
136,2009-08-19,944.8
137,2009-08-20,941.7
138,2009-08-21,954.7
139,2009-08-24,943.7
140,2009-08-25,946.0
141,2009-08-26,945.8
142,2009-08-27,947.3
143,2009-08-28,958.8
144,2009-08-31,953.5
145,2009-09-01,956.5
146,2009-09-02,978.5
147,2009-09-03,997.7
148,2009-09-04,996.7
149,2009-09-08,999.8
150,2009-09-09,997.1
151,2009-09-10,996.8
152,2009-09-11,1006.4
153,2009-09-14,1001.1
154,2009-09-15,1006.3
155,2009-09-16,1020.2
156,2009-09-17,1013.5
157,2009-09-18,1010.3
158,2009-09-21,1004.9
159,2009-09-22,1015.5
160,2009-09-23,1014.4
161,2009-09-24,998.9
162,2009-09-25,991.6
163,2009-09-28,994.1
164,2009-09-29,994.4
165,2009-09-30,1009.3
166,2009-10-01,1000.7
167,2009-10-02,1004.3
168,2009-10-05,1017.8
169,2009-10-06,1039.7
170,2009-10-07,1044.4
171,2009-10-08,1056.3
172,2009-10-09,1048.6
173,2009-10-12,1057.5
174,2009-10-13,1065.0
175,2009-10-14,1064.7
176,2009-10-15,1050.6
177,2009-10-16,1051.5
178,2009-10-19,1058.1
179,2009-10-20,1058.6
180,2009-10-21,1064.5
181,2009-10-22,1058.6
182,2009-10-23,1056.4
183,2009-10-26,1042.8
184,2009-10-27,1035.4
185,2009-10-28,1030.5
186,2009-10-29,1047.1
187,2009-10-30,1040.4
188,2009-11-02,1054.0
189,2009-11-03,1084.9
