,gold,bitcoin,cpi,oil
,close,close,close,close
date,,,,
2010-07-19,1181.9,0.1,25.09,81.54
2010-07-20,1191.7,0.1,25.08,81.95
2010-07-21,1191.8,0.1,25.09,81.74
2010-07-22,1195.6,0.1,25.09,83.97
2010-07-23,1187.8,0.1,25.1,83.79
2010-07-26,1183.1,0.1,25.07,83.88
2010-07-27,1158.0,0.1,25.05,82.67
2010-07-28,1160.4,0.1,25.0,82.62
2010-07-29,1169.8,0.1,25.01,84.1
2010-07-30,1182.4,0.1,25.02,84.5
2010-08-02,1184.1,0.1,25.06,86.51
2010-08-03,1186.1,0.1,25.04,87.56
2010-08-04,1194.5,0.1,25.06,87.5
2010-08-05,1197.9,0.1,25.07,87.06
2010-08-06,1204.1,0.1,25.08,86.41
2010-08-09,1201.4,0.1,25.11,87.32
2010-08-10,1196.8,0.1,25.09,86.39
2010-08-11,1198.0,0.1,25.11,84.11
2010-08-12,1215.4,0.1,25.11,81.63
2010-08-13,1215.4,0.1,25.14,81.29
2010-08-16,1225.0,0.1,25.15,81.24
2010-08-17,1227.0,0.1,25.2,82.58
2010-08-18,1230.1,0.1,25.19,82.35
2010-08-19,1234.2,0.1,25.2,80.96
2010-08-20,1227.6,0.1,25.22,80.09
2010-08-23,1227.3,0.1,25.22,79.68
2010-08-24,1232.2,0.1,25.21,78.73
2010-08-25,1239.9,0.1,25.24,79.7
2010-08-26,1236.4,0.1,25.26,81.16
2010-08-27,1236.6,0.1,25.26,83.06
2010-08-30,1238.0,0.1,25.22,83.05
2010-08-31,1249.0,0.1,25.25,81.26
2010-09-01,1246.8,0.1,25.29,82.98
2010-09-02,1252.1,0.1,25.25,83.31
2010-09-03,1249.8,0.1,25.25,83.1
2010-09-07,1257.9,0.1,25.23,83.82
2010-09-08,1256.1,0.1,25.26,84.05
2010-09-09,1249.4,0.1,25.25,83.13
2010-09-10,1245.0,0.1,25.21,83.38
2010-09-13,1245.6,0.1,25.2,84.17
2010-09-14,1270.2,0.1,25.21,84.43
2010-09-15,1267.1,0.1,25.27,84.32
2010-09-16,1272.2,0.1,25.24,83.35
2010-09-17,1420.5,0.1,25.24,83.29
2010-09-20,1424.0,0.1,25.24,84.07
2010-09-21,1415.1,0.1,25.25,83.01
2010-09-22,1427.5,0.1,25.29,82.63
2010-09-23,1434.3,0.1,25.3,82.62
2010-09-24,1438.6,0.1,25.31,83.35
2010-09-27,1435.0,0.1,25.3,83.01
2010-09-28,1442.7,0.1,25.32,83.32
2010-09-29,1446.1,0.1,25.34,84.88
2010-09-30,1479.0,0.1,25.34,86.31
2010-10-01,1338.0,0.1,25.34,87.58
2010-10-04,1336.2,0.1,25.35,87.07
2010-10-05,1359.9,0.1,25.35,88.38
2010-10-06,1366.4,0.1,25.39,88.51
2010-10-07,1353.0,0.1,25.41,86.95
2010-10-08,1362.7,0.1,25.38,87.85
2010-10-11,1372.5,0.1,25.41,87.69
2010-10-12,1365.1,0.1,25.41,87.39
2010-10-13,1389.5,0.1,25.4,88.24
2010-10-14,1396.7,0.1,25.44,87.77
2010-10-15,1390.7,0.1,25.44,86.4
2010-10-18,1390.7,0.1,25.41,88.24
2010-10-19,1353.7,0.1,25.43,84.93
2010-10-20,1361.7,0.1,25.36,86.82
2010-10-21,1342.6,0.1,25.38,85.22
2010-10-22,1342.3,0.1,25.35,86.29
2010-10-25,1356.5,0.1,25.35,86.86
2010-10-26,1357.3,0.2,25.37,86.91
2010-10-27,1341.4,0.2,25.37,86.67
2010-10-28,1360.5,0.2,25.34,86.9
2010-10-29,1375.5,0.2,25.37,85.98
2010-11-01,1368.4,0.2,25.4,87.34
2010-11-02,1487.5,0.2,25.38,88.12
2010-11-03,1465.6,0.2,25.39,88.93
2010-11-04,1506.1,0.2,25.39,90.31
2010-11-05,1526.4,0.3,25.45,90.68
2010-11-08,1535.5,0.2,25.45,91.02
2010-11-09,1553.3,0.2,25.46,90.7
2010-11-10,1546.5,0.2,25.42,91.05
2010-11-11,1553.4,0.2,25.45,91.16
2010-11-12,1512.2,0.3,25.45,88.47
2010-11-15,1518.1,0.3,25.39,88.45
2010-11-16,1494.4,0.2,25.37,86.45
2010-11-17,1487.4,0.2,25.34,84.95
2010-11-18,1509.4,0.3,25.34,86.23
2010-11-19,1507.3,0.3,25.36,85.41
2010-11-22,1509.4,0.3,25.36,85.17
2010-11-23,1524.6,0.3,25.37,84.77
2010-11-24,1530.4,0.3,25.36,87.22
2010-11-26,1517.8,0.3,25.36,87.05
2010-11-29,1520.7,0.2,25.33,88.72
2010-11-30,1409.1,0.2,25.33,87.05
2010-12-01,1411.4,0.2,25.36,89.36
2010-12-02,1412.4,0.3,25.36,89.89
2010-12-03,1428.0,0.3,25.38,90.04
2010-12-06,1437.3,0.2,25.43,89.5
2010-12-07,1431.1,0.2,25.44,90.24
2010-12-08,1406.3,0.2,25.4,90.32
2010-12-09,1416.4,0.2,25.37,90.24
2010-12-10,1408.9,0.2,25.38,89.68
2010-12-13,1422.0,0.2,25.37,90.52
2010-12-14,1428.7,0.2,25.38,90.72
2010-12-15,1411.2,0.2,25.38,91.45
2010-12-16,1396.1,0.3,25.35,91.3
2010-12-17,1403.2,0.2,25.35,91.36
2010-12-20,1409.7,0.3,25.4,92.3
2010-12-21,1412.6,0.2,25.36,92.62
2010-12-22,1411.3,0.3,25.37,92.97
2010-12-23,1404.4,0.3,25.37,93.76
2010-12-27,1407.1,0.3,25.33,93.5
2010-12-28,1430.3,0.3,25.39,93.9
2010-12-29,1437.7,0.3,25.41,93.68
2010-12-30,1429.5,0.3,25.44,92.91
2010-12-31,1443.9,0.3,25.45,94.43
2011-01-03,1445.4,0.3,25.47,94.83
2011-01-04,1399.6,0.3,25.46,93.75
2011-01-05,1395.8,0.3,25.45,95.22
2011-01-06,1394.0,0.3,25.41,94.3
2011-01-07,1390.1,0.3,25.39,93.12
2011-01-10,1395.7,0.3,25.39,94.94
2011-01-11,1406.1,0.3,25.39,96.29
2011-01-12,1407.7,0.3,25.38,96.37
2011-01-13,1408.5,0.3,25.41,96.09
2011-01-14,1381.5,0.4,25.4,96.66
2011-01-18,1389.3,0.3,25.39,96.51
2011-01-19,1390.9,0.3,25.41,96.33
2011-01-20,1366.0,0.4,25.42,95.1
2011-01-21,1360.6,0.4,25.37,95.56
2011-01-24,1363.6,0.4,25.37,94.84
2011-01-25,1350.8,0.4,25.38,93.56
2011-01-26,1333.7,0.4,25.38,95.55
2011-01-27,1339.7,0.4,25.4,95.37
2011-01-28,1361.4,0.4,25.38,97.92
2011-01-31,1354.1,0.5,25.35,99.56
2011-02-01,1360.1,0.7,25.37,99.6
2011-02-02,1351.3,0.7,25.43,100.49
2011-02-03,1373.0,0.7,25.41,100.13
2011-02-04,1369.9,0.8,25.41,98.84
2011-02-07,1369.5,0.9,25.39,98.46
2011-02-08,1363.7,0.9,25.39,98.84
2011-02-09,1365.1,1.1,25.39,99.29
2011-02-10,1362.1,1.0,25.37,98.56
2011-02-11,1360.0,1.1,25.33,98.02
2011-02-14,1364.7,1.1,25.34,98.59
2011-02-15,1373.7,1.0,25.35,96.93
2011-02-16,1374.7,1.0,25.33,97.22
2011-02-17,1384.8,1.0,25.35,96.75
2011-02-18,1388.3,0.9,25.37,97.93
2011-02-22,1400.6,0.9,25.37,99.93
2011-02-23,1433.7,0.9,25.34,101.96
2011-02-24,1434.5,1.0,25.33,100.97
2011-02-25,1427.9,0.9,25.35,102.04
