Date,bitcoin,russel,nasdaq
2014-09-17,457.334015,2001.569946,4072.5
2014-09-18,424.440002,2011.359985,4103.75
2014-09-19,394.79599,2010.400024,4118.5
2014-09-22,402.152008,1994.290039,4052.75
2014-09-23,435.790985,1982.77002,4037.0
2014-09-24,423.204987,1998.300049,4087.75
2014-09-25,411.574005,1965.98999,4007.5
2014-09-26,404.424988,1982.849976,4045.75
2014-09-29,375.46701,1977.800049,4035.5
2014-09-30,386.944,1972.290039,4044.75
2014-10-01,383.61499,1946.160034,3982.5
2014-10-02,375.071991,1946.170044,3978.0
2014-10-03,359.511993,1967.900024,4016.0
2014-10-06,330.07901,1964.819946,4007.0
2014-10-07,336.187012,1935.099976,3956.25
2014-10-08,352.940002,1968.890015,4030.5
2014-10-09,365.026001,1928.209961,3970.25
2014-10-10,361.562012,1906.130005,3853.0
2014-10-13,390.414001,1874.73999,3798.5
2014-10-14,400.869995,1877.699951,3811.75
2014-10-15,394.77301,1862.48999,3752.0
2014-10-16,382.556,1862.76001,3741.5
2014-10-17,383.757996,1886.76001,3804.0
2014-10-20,382.845001,1904.01001,3866.0
2014-10-21,386.475006,1941.280029,3971.5
2014-10-22,383.15799,1927.109985,3949.25
2014-10-23,358.416992,1950.819946,4005.25
2014-10-24,358.345001,1964.579956,4034.75
2014-10-27,352.989014,1961.630005,4038.25
2014-10-28,357.618011,1985.050049,4094.0
2014-10-29,335.591003,1982.300049,4072.25
2014-10-30,345.304993,1994.650024,4089.5
2014-10-31,338.321014,2018.050049,4150.5
2014-11-03,327.553986,2017.810059,4157.25
2014-11-04,330.492004,2012.099976,4143.5
2014-11-05,339.485992,2023.569946,4142.5
2014-11-06,349.290009,2031.209961,4162.75
2014-11-07,342.415009,2031.920044,4150.75
2014-11-10,366.924011,2038.26001,4170.25
2014-11-11,367.695007,2039.680054,4183.25
2014-11-12,423.561005,2038.25,4196.0
2014-11-13,420.734985,2039.329956,4205.0
2014-11-14,397.817993,2039.819946,4222.0
2014-11-17,387.40799,2041.319946,4212.25
2014-11-18,375.197998,2051.800049,4238.0
2014-11-19,380.554993,2048.719971,4223.75
2014-11-20,357.839996,2052.75,4245.0
2014-11-21,350.847992,2063.5,4249.25
2014-11-24,376.901001,2069.409912,4282.0
2014-11-25,375.347992,2067.030029,4292.5
2014-11-26,368.369995,2072.830078,4317.75
2014-12-01,379.244995,2053.439941,4286.5
2014-12-02,381.315002,2066.550049,4305.5
2014-12-03,375.01001,2074.330078,4310.5
2014-12-04,369.604004,2071.919922,4313.5
2014-12-05,376.854004,2075.370117,4313.25
2014-12-08,361.908997,2060.310059,4279.0
2014-12-09,352.218994,2059.820068,4290.75
2014-12-10,346.36499,2026.140015,4227.0
2014-12-11,350.506012,2035.329956,4236.5
2014-12-12,352.541992,2002.329956,4189.5
2014-12-15,345.345001,1989.630005,4163.75
2014-12-16,327.062012,1972.73999,4086.5
2014-12-17,319.776001,2012.890015,4162.75
2014-12-18,311.395996,2061.22998,4265.0
2014-12-19,317.842987,2070.649902,4261.0
2014-12-22,331.885986,2078.540039,4291.75
2014-12-23,334.571991,2082.169922,4278.0
2014-12-26,327.924011,2088.77002,4310.25
2014-12-29,312.670013,2090.570068,4311.0
2014-12-30,310.737,2080.350098,4282.75
2014-12-31,320.192993,2058.899902,4232.75
2015-01-02,315.032013,2058.199951,4214.25
2015-01-05,274.473999,2020.579956,4161.75
2015-01-06,286.188995,2002.609985,4102.25
2015-01-07,294.337006,2025.900024,4151.5
2015-01-08,283.348999,2062.139893,4232.25
2015-01-09,290.40799,2044.810059,4200.75
2015-01-12,267.79599,2028.26001,4166.5
2015-01-13,225.860992,2023.030029,4158.5
2015-01-14,178.102997,2011.27002,4145.5
2015-01-15,209.843994,1992.670044,4089.0
2015-01-16,208.097,2019.420044,4134.0
2015-01-20,211.315002,2022.550049,4167.0
2015-01-21,226.897003,2032.119995,4182.75
2015-01-22,233.406006,2063.149902,4264.75
2015-01-23,232.878998,2051.820068,4267.0
2015-01-26,273.472992,2057.090088,4269.25
2015-01-27,263.475006,2029.550049,4177.5
2015-01-28,233.914993,2002.160034,4124.25
2015-01-29,233.513,2021.25,4185.75
2015-01-30,226.425003,1994.98999,4141.25
2015-02-02,238.229004,2020.849976,4185.5
2015-02-03,227.268005,2050.030029,4216.25
2015-02-04,226.852997,2041.51001,4204.0
2015-02-05,217.110992,2062.52002,4247.5
2015-02-06,222.266006,2055.469971,4227.5
2015-02-09,220.110001,2046.73999,4214.25
2015-02-10,219.839005,2068.590088,4276.0
2015-02-11,219.184998,2068.530029,4296.5
2015-02-12,221.764008,2088.47998,4344.75
2015-02-13,235.427002,2096.98999,4377.0
2015-02-17,243.610001,2100.340088,4381.75
2015-02-18,236.326004,2099.679932,4386.0
2015-02-19,240.283005,2097.449951,4413.25
2015-02-20,243.779007,2110.300049,4438.0
2015-02-23,238.891998,2109.659912,4444.5
2015-02-24,238.735001,2115.47998,4450.25
2015-02-25,237.470001,2113.860107,4436.75
2015-02-26,236.425995,2110.73999,4461.75
2015-02-27,253.828003,2104.5,4442.5
2015-03-02,275.670013,2117.389893,4477.0
2015-03-03,281.701996,2107.780029,4456.5
2015-03-04,273.09201,2098.530029,4444.25
2015-03-05,276.178009,2101.040039,4449.5
2015-03-06,272.722992,2071.26001,4405.0
2015-03-09,289.606995,2079.429932,4413.5
2015-03-10,291.76001,2044.160034,4331.25
2015-03-11,296.378998,2040.23999,4307.5
2015-03-12,294.354004,2065.949951,4330.75
2015-03-13,285.337006,2053.399902,4308.75
2015-03-16,290.592987,2081.189941,4359.5
2015-03-17,285.505005,2074.280029,4377.75
2015-03-18,256.299011,2099.5,4427.25
2015-03-19,260.928009,2089.27002,4429.5
2015-03-20,261.748993,2108.100098,4461.25
2015-03-23,266.73999,2104.419922,4436.75
2015-03-24,245.595001,2091.5,4429.0
2015-03-25,246.197006,2061.050049,4323.5
2015-03-26,248.531998,2056.149902,4310.75
2015-03-27,247.029007,2061.02002,4325.75
2015-03-30,247.526001,2086.23999,4372.5
2015-03-31,244.223999,2067.889893,4329.5
2015-04-01,247.272003,2059.689941,4313.0
2015-04-02,253.005005,2066.959961,4307.25
2015-04-06,255.492004,2080.620117,4342.25
2015-04-07,253.179993,2076.330078,4334.0
2015-04-08,245.022003,2081.899902,4374.75
2015-04-09,243.675995,2091.179932,4399.25
2015-04-10,236.072006,2102.060059,4414.75
2015-04-13,224.587006,2092.429932,4403.25
2015-04-14,219.158997,2095.840088,4397.75
2015-04-15,223.832993,2106.629883,4421.75
2015-04-16,228.572998,2104.98999,4415.25
2015-04-17,222.882004,2081.179932,4349.0
2015-04-20,224.626007,2100.399902,4407.5
2015-04-21,235.268997,2097.290039,4428.5
2015-04-22,234.175995,2107.959961,4445.25
2015-04-23,236.462006,2112.929932,4481.5
2015-04-24,231.268005,2117.689941,4529.25
2015-04-27,229.285995,2108.919922,4524.75
2015-04-28,225.854996,2114.76001,4516.0
2015-04-29,225.807999,2106.850098,4479.75
2015-04-30,236.145004,2085.51001,4408.25
2015-05-01,232.078995,2108.290039,4467.75
2015-05-04,239.018005,2114.48999,4476.5
2015-05-05,236.121002,2089.459961,4407.5
2015-05-06,229.781998,2080.149902,4373.0
2015-05-07,237.334,2088.0,4402.5
2015-05-08,243.863007,2116.100098,4448.75
2015-05-11,242.158005,2105.330078,4431.25
2015-05-12,241.112,2099.120117,4420.75
2015-05-13,236.376999,2098.47998,4423.75
2015-05-14,236.929001,2121.100098,4490.25
2015-05-15,237.604996,2122.72998,4488.75
2015-05-18,233.128006,2129.199951,4507.25
2015-05-19,231.947006,2127.830078,4501.25
2015-05-20,234.018005,2125.850098,4505.5
2015-05-21,235.343994,2130.820068,4528.75
2015-05-22,240.348007,2126.060059,4528.75
2015-05-26,237.115997,2104.199951,4479.75
2015-05-27,237.283005,2123.47998,4542.25
2015-05-28,237.408005,2120.790039,4542.75
2015-05-29,237.095993,2107.389893,4511.0
2015-06-01,222.925995,2111.72998,4521.5
2015-06-02,225.802994,2109.600098,4503.0
2015-06-03,225.873993,2114.070068,4527.5
2015-06-04,224.324005,2095.840088,4496.5
2015-06-05,224.951996,2092.830078,4481.5
2015-06-08,228.488998,2079.280029,4432.25
2015-06-09,229.048004,2080.149902,4431.5
2015-06-10,228.802994,2105.199951,4488.75
2015-06-11,229.705002,2108.860107,4490.5
2015-06-12,229.981995,2094.110107,4454.75
2015-06-15,236.822998,2084.429932,4435.5
2015-06-16,250.895004,2096.290039,4459.0
2015-06-17,249.283997,2100.439941,4461.25
2015-06-18,249.007004,2121.23999,4538.0
2015-06-19,244.606003,2109.98999,4531.0
2015-06-22,246.990005,2122.850098,4532.75
2015-06-23,244.296005,2124.199951,4541.25
2015-06-24,240.514999,2108.580078,4515.75
2015-06-25,242.798996,2102.310059,4509.25
2015-06-26,243.593994,2101.48999,4480.5
2015-06-29,257.063995,2057.639893,4378.0
2015-06-30,263.071991,2063.110107,4390.25
2015-07-01,258.621002,2077.419922,4422.0
2015-07-02,255.412003,2076.780029,4428.75
2015-07-06,269.029999,2068.76001,4422.75
2015-07-07,266.207001,2081.340088,4422.25
2015-07-08,270.785004,2046.680054,4346.5
2015-07-09,269.227997,2051.310059,4339.5
2015-07-10,284.894012,2076.620117,4408.25
2015-07-13,292.053986,2099.600098,4488.0
2015-07-14,287.463989,2108.949951,4517.5
2015-07-15,285.82901,2107.399902,4536.5
2015-07-16,278.088989,2124.290039,4597.75
2015-07-17,279.471985,2126.639893,4650.0
2015-07-20,278.980988,2128.280029,4671.25
2015-07-21,275.833008,2119.209961,4666.5
2015-07-22,277.221985,2114.149902,4617.0
2015-07-23,276.049011,2102.149902,4620.0
2015-07-24,288.278015,2079.649902,4561.75
2015-07-27,293.623993,2067.639893,4522.5
2015-07-28,294.427002,2093.25,4556.0
2015-07-29,289.589996,2108.570068,4565.0
2015-07-30,287.721985,2108.629883,4595.25
2015-07-31,284.649994,2103.840088,4585.0
2015-08-03,281.22699,2098.040039,4573.0
2015-08-04,285.217987,2093.320068,4551.75
2015-08-05,281.881989,2099.840088,4593.5
2015-08-06,278.576996,2083.560059,4524.75
2015-08-07,279.584991,2077.570068,4519.0
2015-08-10,264.470001,2104.179932,4566.0
2015-08-11,270.385986,2084.070068,4510.75
2015-08-12,266.376007,2086.050049,4533.5
2015-08-13,264.079987,2083.389893,4517.25
2015-08-14,265.679993,2091.540039,4531.75
2015-08-17,257.976013,2102.439941,4564.75
2015-08-18,211.078995,2096.919922,4544.0
2015-08-19,226.684006,2079.610107,4503.75
2015-08-20,235.350006,2035.72998,4366.25
2015-08-21,232.569,1970.890015,4200.75
2015-08-24,210.494995,1893.209961,4003.25
2015-08-25,221.608994,1867.609985,4028.5
2015-08-26,225.830994,1940.51001,4214.5
2015-08-27,224.768997,1987.660034,4328.0
2015-08-28,231.395996,1988.869995,4333.0
2015-08-31,230.056,1972.180054,4271.75
2015-09-01,228.121002,1913.849976,4158.25
2015-09-02,229.283997,1948.859985,4260.0
2015-09-03,227.182999,1951.130005,4229.5
2015-09-04,230.298004,1921.219971,4194.0
2015-09-08,243.606995,1969.410034,4298.5
2015-09-09,238.167999,1942.040039,4255.0
2015-09-10,238.477005,1952.290039,4295.0
2015-09-11,240.106995,1961.050049,4325.25
2015-09-14,230.643997,1953.030029,4310.0
2015-09-15,230.304001,1978.089966,4361.0
2015-09-16,229.091003,1995.310059,4391.5
2015-09-17,229.809998,1990.199951,4380.25
2015-09-18,232.975006,1958.030029,4325.25
2015-09-21,227.085007,1966.969971,4341.25
2015-09-22,230.617996,1942.73999,4267.25
2015-09-23,230.283005,1938.76001,4262.75
2015-09-24,234.529007,1932.23999,4246.0
2015-09-25,235.143997,1931.339966,4213.5
2015-09-28,239.141998,1881.77002,4094.75
2015-09-29,236.686996,1884.089966,4074.75
2015-09-30,236.059998,1920.030029,4163.0
2015-10-01,237.548996,1923.819946,4187.5
2015-10-02,237.292999,1951.359985,4261.25
2015-10-05,240.382996,1987.050049,4311.25
2015-10-06,246.063004,1979.920044,4290.25
2015-10-07,242.968994,1995.829956,4323.75
2015-10-08,242.304001,2013.430054,4344.75
2015-10-09,243.931,2014.890015,4359.5
2015-10-12,245.307999,2017.459961,4375.0
2015-10-13,249.507996,2003.689941,4341.25
2015-10-14,251.988998,1994.23999,4326.5
2015-10-15,254.320007,2023.859985,4411.75
2015-10-16,262.868988,2033.109985,4434.75
2015-10-19,263.437012,2033.660034,4454.5
2015-10-20,269.463013,2030.77002,4424.75
2015-10-21,266.272003,2018.939941,4399.25
2015-10-22,274.02301,2052.51001,4552.75
2015-10-23,276.496002,2075.149902,4611.5
2015-10-26,285.299988,2071.179932,4616.25
2015-10-27,293.787994,2065.889893,4632.25
