date,treasure index price
2009-03-26,27.33
2009-03-27,27.61
2009-03-30,27.14
2009-03-31,26.85
2009-04-01,26.58
2009-04-02,27.52
2009-04-03,29.07
2009-04-06,29.39
2009-04-07,29.09
2009-04-08,28.47
2009-04-09,29.26
2009-04-13,28.45
2009-04-14,27.86
2009-04-15,27.59
2009-04-16,28.3
2009-04-17,29.3
2009-04-20,28.43
2009-04-21,29.02
2009-04-22,29.64
2009-04-23,29.27
2009-04-24,29.96
2009-04-27,29.21
2009-04-28,30.02
2009-04-29,30.96
2009-04-30,31.24
2009-05-01,31.74
2009-05-04,31.57
2009-05-05,31.57
2009-05-06,31.52
2009-05-07,32.95
2009-05-08,32.93
2009-05-11,31.8
2009-05-12,31.75
2009-05-13,31.05
2009-05-14,31.07
2009-05-15,31.23
2009-05-18,32.11
2009-05-19,32.43
2009-05-20,32.02
2009-05-21,33.53
2009-05-22,34.48
2009-05-26,34.93
2009-05-27,36.95
2009-05-28,36.72
2009-05-29,34.65
2009-06-01,37.15
2009-06-02,36.44
2009-06-03,35.51
2009-06-04,37.16
2009-06-05,38.62
2009-06-08,38.89
2009-06-09,38.58
2009-06-10,39.36
2009-06-11,38.62
2009-06-12,37.88
2009-06-15,37.13
2009-06-16,36.74
2009-06-17,36.47
2009-06-18,38.34
2009-06-19,37.89
2009-06-22,36.93
2009-06-23,36.4
2009-06-24,36.85
2009-06-25,35.46
2009-06-26,35.06
2009-06-29,34.92
2009-06-30,35.23
2009-07-01,35.44
2009-07-02,34.95
2009-07-06,35.06
2009-07-07,34.6
2009-07-08,32.89
2009-07-09,34.13
2009-07-10,32.95
2009-07-13,33.46
2009-07-14,34.47
2009-07-15,35.96
2009-07-16,35.57
2009-07-17,36.51
2009-07-20,35.85
2009-07-21,34.77
2009-07-22,35.54
2009-07-23,37.09
2009-07-24,36.7
2009-07-27,37.13
2009-07-28,36.88
2009-07-29,36.64
2009-07-30,36.41
2009-07-31,35.01
2009-08-03,36.39
2009-08-04,36.79
2009-08-05,37.64
2009-08-06,37.46
2009-08-07,38.54
2009-08-10,37.71
2009-08-11,36.93
2009-08-12,37.01
